,"CRR274122","CRR274124","CRR274144","CRR274150","CRR274140","CRR274151","CRR274136","CRR274147","CRR274137","CRR274123","CRR274129","CRR274131","CRR274142","CRR274133","CRR274143","CRR274138","CRR274126","CRR274139","CRR274134","CRR274152","CRR274128","CRR274132","CRR274130","CRR274127","CRR274125","CRR274121","CRR274149","CRR274148","CRR274141","CRR274135","CRR274145","CRR274146"
"CRR274122",0,0.354666262865067,0.874658703804016,0.893120169639587,0.876051962375641,0.901389896869659,0.427505552768707,0.909953713417053,0.862168252468109,0.319204896688461,0.426811903715134,0.582971692085266,0.848402142524719,0.607920348644257,0.861410081386566,0.845129430294037,0.347378849983215,0.847004115581512,0.662262320518494,0.909242987632751,0.394978761672974,0.440560221672058,0.594366133213043,0.590889036655426,0.513198792934418,0.3731609582901,0.930295407772064,0.900956213474274,0.870310604572296,0.493245214223862,0.860836505889893,0.870131433010101
"CRR274124",0.354666262865067,0,0.871671915054321,0.888285398483276,0.877517580986023,0.89736944437027,0.464245706796646,0.90850555896759,0.83933299779892,0.344215095043182,0.417313545942307,0.595827460289001,0.852032959461212,0.605317413806915,0.862150013446808,0.837507009506226,0.378387331962585,0.833138883113861,0.661207258701324,0.903257250785828,0.351053774356842,0.442190915346146,0.609114348888397,0.600041210651398,0.517087697982788,0.365830600261688,0.92551326751709,0.900261878967285,0.856767654418945,0.510576069355011,0.83954393863678,0.865921080112457
"CRR274144",0.874658703804016,0.871671915054321,0,0.177853867411613,0.541525542736053,0.194667086005211,0.721139669418335,0.220024034380913,0.643624663352966,0.88993638753891,0.694799602031708,0.617963075637817,0.209737733006477,0.577756881713867,0.16572517156601,0.655370235443115,0.866181790828705,0.560666739940643,0.274513125419617,0.127984389662743,0.901137709617615,0.675955235958099,0.409026294946671,0.911293387413025,0.911785364151001,0.814469873905182,0.261476397514343,0.127078726887703,0.600139856338501,0.806556344032288,0.654001474380493,0.361004173755646
"CRR274150",0.893120169639587,0.888285398483276,0.177853867411613,0,0.522080361843109,0.169073522090912,0.732354164123535,0.305585473775864,0.572749614715576,0.910755395889282,0.704675137996674,0.628054261207581,0.241116523742676,0.585534632205963,0.283070236444473,0.590358018875122,0.884016871452332,0.57999974489212,0.379248708486557,0.236754715442657,0.919532179832459,0.692592680454254,0.404787600040436,0.911216616630554,0.927858650684357,0.821784794330597,0.383690297603607,0.237485617399216,0.552269399166107,0.825063407421112,0.564111053943634,0.337890297174454
"CRR274140",0.876051962375641,0.877517580986023,0.541525542736053,0.522080361843109,0,0.494789361953735,0.710449457168579,0.598368585109711,0.463887453079224,0.893217384815216,0.676807820796967,0.635321199893951,0.544256687164307,0.580865561962128,0.614612698554993,0.463038206100464,0.873518943786621,0.333292603492737,0.678071558475494,0.601799845695496,0.905056834220886,0.684685528278351,0.634200990200043,0.918564379215241,0.917482078075409,0.823628604412079,0.716148138046265,0.590305149555206,0.408502787351608,0.815682590007782,0.568232297897339,0.407418102025986
"CRR274151",0.901389896869659,0.89736944437027,0.194667086005211,0.169073522090912,0.494789361953735,0,0.739789187908173,0.333422690629959,0.614813566207886,0.91830849647522,0.712855517864227,0.645251333713532,0.237237721681595,0.591058254241943,0.301757544279098,0.624823093414307,0.892132818698883,0.516047775745392,0.406775265932083,0.233801782131195,0.925785779953003,0.702821552753449,0.424061864614487,0.92033976316452,0.934398353099823,0.832082390785217,0.359614938497543,0.204929336905479,0.55296403169632,0.834597587585449,0.641111731529236,0.27940109372139
"CRR274136",0.427505552768707,0.464245706796646,0.721139669418335,0.732354164123535,0.710449457168579,0.739789187908173,0,0.778033256530762,0.679381847381592,0.384674429893494,0.316345036029816,0.419291257858276,0.688590288162231,0.340000599622726,0.719683289527893,0.677777767181397,0.41867259144783,0.655073225498199,0.553157866001129,0.766301691532135,0.480923116207123,0.322219282388687,0.504494369029999,0.612172305583954,0.545716822147369,0.435774773359299,0.85983145236969,0.747272610664368,0.694231688976288,0.368826448917389,0.684830069541931,0.680989027023315
"CRR274147",0.909953713417053,0.90850555896759,0.220024034380913,0.305585473775864,0.598368585109711,0.333422690629959,0.778033256530762,0,0.718230605125427,0.927875697612762,0.747918128967285,0.670850872993469,0.324871122837067,0.639285683631897,0.145434677600861,0.717911183834076,0.904208540916443,0.703096866607666,0.367008745670319,0.166646495461464,0.933785736560822,0.74563455581665,0.47759148478508,0.935145795345306,0.946144938468933,0.854181170463562,0.183663845062256,0.194688618183136,0.709416627883911,0.847841262817383,0.713065803050995,0.522731125354767
"CRR274137",0.862168252468109,0.83933299779892,0.643624663352966,0.572749614715576,0.463887453079224,0.614813566207886,0.679381847381592,0.718230605125427,0,0.863286554813385,0.667764663696289,0.713840425014496,0.670670568943024,0.609082758426666,0.739464104175568,0.156405195593834,0.860499143600464,0.370987266302109,0.7942134141922,0.736154079437256,0.893881320953369,0.670921683311462,0.749669134616852,0.910293579101563,0.884616136550903,0.855827510356903,0.852125585079193,0.728108704090118,0.333913177251816,0.79846066236496,0.323762834072113,0.478560566902161
"CRR274123",0.319204896688461,0.344215095043182,0.88993638753891,0.910755395889282,0.893217384815216,0.91830849647522,0.384674429893494,0.927875697612762,0.863286554813385,0,0.366907477378845,0.531705498695374,0.866611361503601,0.541985273361206,0.880103528499603,0.849346101284027,0.332506954669952,0.855667471885681,0.630744218826294,0.924910247325897,0.395892173051834,0.402155727148056,0.622443616390228,0.589474022388458,0.441949725151062,0.385897994041443,0.944302439689636,0.920543193817139,0.877221345901489,0.421842753887177,0.865912020206451,0.890263020992279
